t_day,cake_solids_pct,target_pct,wet_cake_m3d,filtrate_m3d,filtrate_tss,dry_solids_kgd,overflow_tss,thickened_pct,track
32.67708333,28.00000000,28.00000000,13.57667072,41.83831182,1854.30463576,3801.46780258,240.19374846,7.00000000,degraded
32.68750000,28.00000000,28.00000000,13.58019735,41.84917959,1854.30463576,3802.45525799,240.26663379,7.00000000,degraded
32.69791667,28.00000000,28.00000000,13.58345708,41.85922487,1854.30463576,3803.36798180,240.33400874,7.00000000,degraded
32.70833333,28.00000000,28.00000000,13.58643308,41.86839583,1854.30463576,3804.20126355,240.39552424,7.00000000,degraded
32.71875000,28.00000000,28.00000000,13.58911095,41.87664804,1854.30463576,3804.95106661,240.45088095,7.00000000,degraded
32.72916667,28.00000000,28.00000000,13.59147931,41.88394643,1854.30463576,3805.61420572,240.49984247,7.00000000,degraded
32.73958333,28.00000000,28.00000000,13.59352770,41.89025884,1854.30463576,3806.18775691,240.54219176,7.00000000,degraded
32.75000000,28.00000000,28.00000000,13.59524844,41.89556153,1854.30463576,3806.66956435,240.57776863,7.00000000,degraded
32.76041667,28.00000000,28.00000000,13.59663315,41.89982868,1854.30463576,3807.05728150,240.60639894,7.00000000,degraded
32.77083333,28.00000000,28.00000000,13.59767153,41.90302860,1854.30463576,3807.34802912,240.62786934,7.00000000,degraded
32.78125000,28.00000000,28.00000000,13.59835777,41.90514333,1854.30463576,3807.54017549,240.64205879,7.00000000,degraded
32.79166667,28.00000000,28.00000000,13.59868964,41.90616603,1854.30463576,3807.63309891,240.64892099,7.00000000,degraded
32.80208333,28.00000000,28.00000000,13.59866799,41.90609933,1854.30463576,3807.62703836,240.64847343,7.00000000,degraded
32.81250000,28.00000000,28.00000000,13.59830263,41.90497342,1854.30463576,3807.52473701,240.64091869,7.00000000,degraded
32.82291667,28.00000000,28.00000000,13.59761161,41.90284393,1854.30463576,3807.33125000,240.62663026,7.00000000,degraded
32.83333333,28.00000000,28.00000000,13.59662392,41.89980023,1854.30463576,3807.05469628,240.60620803,7.00000000,degraded
32.84375000,28.00000000,28.00000000,13.59538006,41.89596712,1854.30463576,3806.70641661,240.58048988,7.00000000,degraded
32.85416667,28.00000000,28.00000000,13.59393173,41.89150390,1854.30463576,3806.30088416,240.55054499,7.00000000,degraded
32.86458333,28.00000000,28.00000000,13.59233957,41.88659744,1854.30463576,3805.85507855,240.51762753,7.00000000,degraded
32.87500000,28.00000000,28.00000000,13.59066670,41.88144229,1854.30463576,3805.38667731,240.48304305,7.00000000,degraded
32.88541667,28.00000000,28.00000000,13.58897860,41.87624019,1854.30463576,3804.91400914,240.44814497,7.00000000,degraded
32.89583333,28.00000000,28.00000000,13.58734072,41.87119282,1854.30463576,3804.45540047,240.41428633,7.00000000,degraded
32.90625000,28.00000000,28.00000000,13.58581199,41.86648185,1854.30463576,3804.02735723,240.38268555,7.00000000,degraded
32.91666667,28.00000000,28.00000000,13.58444721,41.86227610,1854.30463576,3803.64521888,240.35447476,7.00000000,degraded
32.92708333,28.00000000,28.00000000,13.58329670,41.85873065,1854.30463576,3803.32307663,240.33069383,7.00000000,degraded
32.93750000,28.00000000,28.00000000,13.58240131,41.85597139,1854.30463576,3803.07236759,240.31218666,7.00000000,degraded
32.94791667,28.00000000,28.00000000,13.58179652,41.85410765,1854.30463576,3802.90302617,240.29968622,7.00000000,degraded
32.95833333,28.00000000,28.00000000,13.58151454,41.85323869,1854.30463576,3802.82407200,240.29385805,7.00000000,degraded
32.96875000,28.00000000,28.00000000,13.58158063,41.85344234,1854.30463576,3802.84257563,240.29522393,7.00000000,degraded
32.97916667,28.00000000,28.00000000,13.58201745,41.85478847,1854.30463576,3802.96488647,240.30425260,7.00000000,degraded
32.98958333,28.00000000,28.00000000,13.58284248,41.85733090,1854.30463576,3803.19589376,240.32130523,7.00000000,degraded
33.00000000,28.00000000,28.00000000,13.58405927,41.86108060,1854.30463576,3803.53659464,240.34645591,7.00000000,degraded
33.01041667,28.00000000,28.00000000,13.58565675,41.86600345,1854.30463576,3803.98389000,240.37947660,7.00000000,degraded
33.02083333,28.00000000,28.00000000,13.58761212,41.87202919,1854.30463576,3804.53139378,240.41989675,7.00000000,degraded
33.03125000,28.00000000,28.00000000,13.58987201,41.87899333,1854.30463576,3805.16416245,240.46661413,7.00000000,degraded
33.04166667,28.00000000,28.00000000,13.59220299,41.88617655,1854.30463576,3805.81683634,240.51480386,7.00000000,degraded
33.05208333,28.00000000,28.00000000,13.59408490,41.89197591,1854.30463576,3806.34377116,240.55371176,7.00000000,degraded
33.06250000,28.00000000,28.00000000,13.59487656,41.89441553,1854.30463576,3806.56543784,240.57007976,7.00000000,degraded
